"fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","score1","score2","score3","score4","score5"
7.2,0.19,0.31,4.21,0.062,31,173,0.9917,3.35,0.44,11.7,7,7,6,7,7
6.6,0.25,0.29,5.72,0.068,39,-,0.9914,3.34,0.58,11,9,8,8,7,7
6.2,0.16,0.33,4.18,0.057,21,82,0.991,3.32,0.46,10.9,7,8,6,7,9
6.4,0.18,0.35,2.96,0.045,39,-,0.9911,3.31,0.35,10.9,6,6,6,5,7
6.8,0.2,0.59,3.54,0.147,38,132,0.993,3.05,0.38,9.1,7,6,5,6,7
6.9,0.25,0.35,3.16,0.039,-,191,0.9908,3.13,0.52,11,6,5,8,5,5
7.2,0.21,0.34,13.65,0.043,37,-,0.9962,3.09,0.5,9.6,6,6,4,8,7
6,0.19,0.26,13.66,0.048,-,147,0.9972,3.3,0.36,8.9,5,6,6,4,7
6.6,0.38,0.15,7.31,0.044,25,78,0.9931,3.11,0.38,10.2,7,7,7,5,5
7.4,0.2,0.36,3.92,0.038,44,111,0.9926,3.36,0.34,9.9,7,6,6,7,6
6.8,0.22,0.24,5.11,0.092,30,123,0.9951,3.03,0.46,8.6,4,7,4,7,4
6,0.19,0.26,13.38,0.048,50,147,0.9972,3.3,0.36,8.9,5,6,7,8,6
7,0.47,0.07,2.00,0.035,17,151,0.991,3.02,0.34,10.5,5,3,4,3,3
6.6,0.38,0.15,5.13,0.044,-,78,0.9931,3.11,0.38,10.2,5,4,6,7,6
7.2,0.24,0.27,3.36,0.038,-,122,0.9927,3.15,0.46,10.3,6,5,3,8,7
6.2,0.35,0.03,3.24,0.064,29,120,0.9934,3.22,0.54,9.1,6,7,2,4,6
6.4,0.26,0.24,9.84,0.04,27,-,0.9903,3.22,0.49,12.6,8,9,8,9,6
6.7,0.25,0.13,2.49,0.041,81,174,0.992,3.14,0.42,9.8,5,7,3,7,4
6.7,0.23,0.31,7.08,0.046,30,96,0.9926,3.33,0.64,10.7,9,9,9,9,9
7.4,0.24,0.29,10.10,0.05,21,-,0.9962,3.13,0.35,9.5,4,4,6,5,5
6.2,0.27,0.43,10.82,0.056,48,244,0.9956,3.1,0.51,9,7,6,8,5,5
6.8,0.3,0.23,5.16,0.061,50.5,-,0.9958,3.32,0.6,9.5,5,4,4,5,5
6,0.27,0.28,4.80,0.063,31,201,0.9964,3.69,0.71,10,4,4,5,4,5
8.6,0.23,0.46,1.00,0.054,9,72,0.9941,2.95,0.49,9.1,4,6,5,6,6
6.7,0.23,0.31,5.92,0.046,30,96,0.9926,3.33,0.64,10.7,8,8,9,9,9
7.4,0.24,0.29,10.10,0.05,21,105,0.9962,3.13,0.35,9.5,3,5,4,4,5
7.1,0.18,0.36,4.08,0.043,31,87,0.9898,3.26,0.37,12.7,7,7,8,8,9
7,0.32,0.34,6.22,0.042,20,69,0.9912,3.31,0.65,12,9,8,9,7,7
7.4,0.18,0.3,9.68,0.064,26,103,0.9961,2.94,0.56,9.3,5,5,4,7,5
6.7,0.54,0.28,5.40,0.06,-,105,0.9949,3.27,0.37,9,3,4,3,1,5
6.8,0.22,0.31,1.40,0.053,34,-,0.9929,3.39,0.77,10.6,3,5,4,6,7
7.1,0.2,0.34,17.35,0.05,-,166,0.9985,3.21,0.6,9.2,6,7,4,7,4
7.1,0.34,0.2,6.10,0.063,47,164,0.9946,3.17,0.42,10,2,5,5,3,4
7.3,0.22,0.3,9.10,0.047,-,207,0.9966,3.33,0.46,9.5,5,6,6,5,7
7.1,0.43,0.61,11.80,0.045,54,155,0.9974,3.11,0.45,8.7,3,3,4,5,5
7.1,0.44,0.62,13.10,0.044,52,152,0.9975,3.12,0.46,8.7,6,5,7,6,5
7.2,0.39,0.63,11.58,0.044,55,156,0.9974,3.09,0.44,8.7,5,6,6,5,6
6.8,0.25,0.31,15.35,0.05,69,-,0.9972,3.22,0.48,9.7,6,5,6,6,6
7.1,0.43,0.61,12.16,0.045,54,-,0.9974,3.11,0.45,8.7,4,4,3,5,5
7.1,0.44,0.62,13.74,0.044,52,-,0.9975,3.12,0.46,8.7,6,6,4,4,7
7.2,0.39,0.63,13.36,0.044,55,156,0.9974,3.09,0.44,8.7,7,5,7,7,8
6.1,0.27,0.43,7.54,0.049,65,-,0.9957,3.12,0.47,9,4,3,5,3,3
6.9,0.24,0.33,4.13,0.035,-,136,0.99,3.26,0.4,12.6,7,8,9,9,9
6.9,0.21,0.33,6.38,0.034,-,136,0.9899,3.25,0.41,12.6,9,8,6,8,9
7.5,0.17,0.32,6.80,0.04,51,-,0.9916,3.21,0.44,11.5,9,7,8,8,8
7.1,0.26,0.29,14.75,0.044,62,-,0.9969,3.04,0.42,9.2,7,7,6,6,6
6,0.34,0.66,17.53,0.046,26,164,0.9979,3.14,0.5,8.8,6,6,6,6,8
8.6,0.265,0.36,5.87,0.034,15,80,0.9913,2.95,0.36,11.4,9,8,8,8,6
9.8,0.36,0.46,10.50,0.038,4,83,0.9956,2.89,0.3,10.1,1,1,2,2,1
6,0.34,0.66,18.73,0.046,26,164,0.9979,3.14,0.5,8.8,7,4,5,7,7
7.4,0.25,0.37,13.70,0.06,-,-,0.9975,3,0.44,9.1,4,5,4,5,5
7.1,0.12,0.32,9.60,0.054,64,-,0.9962,3.4,0.41,9.4,4,5,3,4,5
6,0.21,0.24,12.10,0.05,-,164,0.997,3.34,0.39,9.4,4,3,3,2,5
7.5,0.305,0.4,19.68,0.059,44,170,1,2.99,0.46,9,5,4,3,5,4
7.4,0.25,0.37,13.79,0.06,52,-,0.9975,3,0.44,9.1,4,4,4,1,5
7.3,0.13,0.32,16.26,0.051,-,109,0.9974,3.2,0.35,9.2,6,6,6,6,5
7.1,0.12,0.32,10.17,0.054,64,162,0.9962,3.4,0.41,9.4,5,2,4,3,3
7.1,0.23,0.35,16.50,0.04,60,171,0.999,3.16,0.59,9.1,4,7,4,5,6
7.1,0.23,0.35,19.25,0.04,60,171,0.999,3.16,0.59,9.1,7,3,8,7,6
6.9,0.33,0.28,1.99,0.051,37,187,0.9927,3.27,0.6,10.3,5,5,3,3,3
6.5,0.17,0.54,11.56,0.082,64,-,0.9959,2.89,0.39,8.8,7,7,4,5,6
7.2,0.27,0.46,20.38,0.052,45,255,1,3.04,0.52,8.9,6,4,4,3,3
7.2,0.31,0.5,13.97,0.056,68,-,0.9982,3.01,0.47,9.2,5,5,5,5,3
6.7,0.41,0.34,9.20,0.049,-,-,0.9968,3.22,0.51,9.1,3,3,6,6,4
6.7,0.41,0.34,10.05,0.049,29,150,0.9968,3.22,0.51,9.1,5,6,2,3,4
5.5,0.485,0,1.84,0.065,8,103,0.994,3.63,0.4,9.7,4,2,2,3,2
6,0.31,0.24,4.59,0.041,25,143,0.9914,3.31,0.44,11.3,5,7,5,6,7
7,0.14,0.4,2.13,0.035,16,85,0.9911,3.19,0.42,11.8,5,6,8,7,7
7.2,0.31,0.5,13.30,0.056,68,195,0.9982,3.01,0.47,9.2,3,4,2,5,4
7.3,0.32,0.48,14.28,0.06,57,-,0.9982,3.04,0.5,9.2,5,2,3,6,5
5.9,0.36,0.04,5.94,0.046,-,87,0.9934,3.22,0.51,10.2,4,3,4,4,4
7.8,0.24,0.32,12.20,0.054,-,138,0.9984,3.01,0.54,8.8,2,3,6,3,4
7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,4,5,5,4,5
6.9,0.19,0.28,6.60,0.058,14,146,0.9952,3.29,0.36,9.1,6,7,6,6,5
6.4,0.13,0.47,2.69,0.092,40,158,0.9928,3.21,0.36,9.8,5,6,6,6,5
6.7,0.19,0.36,3.21,0.026,63,143,0.9912,3.27,0.48,11,6,5,6,5,6
7.4,0.39,0.23,7.00,0.033,-,-,0.994,3.14,0.42,10.5,3,4,3,2,5
6.5,0.24,0.32,11.01,0.038,48,203,0.9958,3.45,0.54,9.7,8,9,7,8,7
6.1,0.3,0.56,6.84,0.044,47,179,0.9924,3.3,0.57,10.9,8,7,8,7,7
6.1,0.3,0.56,5.86,0.046,-,184,0.9924,3.31,0.57,10.9,7,6,6,5,4
5.7,0.26,0.25,11.16,0.02,7,-,0.994,3.39,0.37,10.6,5,5,4,5,4
6.5,0.24,0.32,12.04,0.038,48,-,0.9958,3.45,0.54,9.7,9,8,7,9,8
6.5,0.425,0.4,14.31,0.038,59,-,0.9979,3.23,0.57,9,5,4,2,5,3
6.6,0.24,0.27,16.15,0.035,46,188,0.9982,3.24,0.51,9.2,4,4,3,5,5
6.8,0.27,0.22,9.41,0.034,55,203,0.9961,3.19,0.52,8.9,5,6,4,5,4
6.7,0.27,0.31,15.70,0.036,44,179,0.9979,3.26,0.56,9.6,3,3,4,7,5
8.2,0.23,0.4,3.10,0.027,36,121,0.992,3.12,0.38,10.7,6,4,6,6,5
7.1,0.37,0.67,10.50,0.045,-,155,0.9975,3.16,0.44,8.7,3,4,6,4,4
6.8,0.19,0.36,5.65,0.035,30,96,0.9917,3.15,0.54,10.8,8,7,9,9,8
8.1,0.28,0.39,4.85,0.029,18,79,0.9923,3.23,0.52,11.8,7,6,6,5,5
6.3,0.31,0.34,2.20,0.045,20,77,0.9927,3.3,0.43,10.2,3,3,6,3,4
7.1,0.37,0.67,10.89,0.045,-,155,0.9975,3.16,0.44,8.7,4,4,4,4,4
7.9,0.21,0.4,3.27,0.039,38,107,0.992,3.21,0.54,10.8,6,5,4,6,6
8.5,0.21,0.41,5.79,0.036,24,99,0.9947,3.18,0.53,9.7,6,6,6,5,7
8.1,0.2,0.4,3.88,0.037,19,87,0.9921,3.12,0.54,11.2,6,6,6,5,6
6.3,0.255,0.37,2.23,0.04,37,-,0.9905,3,0.39,10.9,5,4,6,6,5
5.6,0.16,0.27,4.93,0.044,53,168,0.9918,3.28,0.37,10.1,8,5,7,5,6
6.4,0.595,0.14,5.20,0.058,15,-,0.9951,3.38,0.36,9,2,5,4,3,3
6.3,0.34,0.33,7.89,0.034,19,-,0.9917,3.38,0.58,12,8,7,8,8,9
6.9,0.25,0.3,7.23,0.054,23,-,0.994,2.99,0.38,9.4,7,6,6,6,6
7.9,0.22,0.38,12.04,0.043,46,152,0.9934,3.12,0.32,11.5,8,8,6,8,9
7.6,0.18,0.46,10.77,0.055,-,-,0.9968,3.14,0.43,9.9,5,5,7,5,7
6.9,0.25,0.3,4.91,0.054,23,116,0.994,2.99,0.38,9.4,5,5,5,5,5
7.2,0.18,0.41,1.20,0.048,41,97,0.9919,3.14,0.45,10.4,2,3,3,5,5
8.2,0.23,0.4,7.50,0.049,12,-,0.9966,3.06,0.84,9.7,4,7,8,8,5
7.4,0.24,0.42,15.07,0.066,48,198,0.9979,2.89,0.42,8.9,5,7,5,7,7
7.4,0.24,0.42,16.16,0.066,-,198,0.9979,2.89,0.42,8.9,6,5,6,6,8
6.1,0.32,0.24,3.76,0.036,38,124,0.9898,3.29,0.42,12.4,7,6,7,8,6
5.2,0.44,0.04,8.60,0.036,43,119,0.9894,3.36,0.33,12.1,9,9,9,9,9
5.2,0.44,0.04,7.50,0.036,43,119,0.9894,3.36,0.33,12.1,9,9,9,9,8
6.1,0.32,0.24,5.98,0.036,38,-,0.9898,3.29,0.42,12.4,9,7,7,8,7
6.4,0.22,0.56,15.08,0.055,-,159,0.998,2.98,0.4,9.1,5,4,3,5,4
6.3,0.36,0.3,5.76,0.049,14,85,0.9932,3.28,0.39,10.6,5,3,3,4,4
7.4,0.24,0.42,16.25,0.066,-,198,0.9979,2.89,0.42,8.9,6,6,5,6,7
6.7,0.24,0.35,13.87,0.05,-,205,0.997,3.15,0.5,9.5,5,4,3,4,4
7,0.23,0.36,13.00,0.051,72,177,0.9972,3.16,0.49,9.8,3,5,4,4,2
8.4,0.27,0.46,10.36,0.048,39,197,0.9974,3.14,0.59,9.6,6,6,7,6,6
6.7,0.46,0.18,4.91,0.034,25,98,0.9896,3.08,0.44,12.6,7,7,8,8,7
7.5,0.29,0.31,9.18,0.055,20,151,0.9968,3.08,0.54,9.3,4,5,5,4,4
9.8,0.42,0.48,10.59,0.034,5,110,0.9958,2.87,0.29,10,5,4,5,3,5
7.1,0.3,0.46,3.23,0.066,29,133,0.9906,3.12,0.54,12.7,6,7,6,6,4
7.9,0.19,0.45,2.71,0.045,17,96,0.9917,3.13,0.39,11,5,7,6,5,6
7.6,0.48,0.37,0.80,0.037,4,100,0.9902,3.03,0.39,11.4,2,1,1,1,3
6.3,0.22,0.43,6.78,0.038,31,130,0.9918,3.35,0.33,11.5,7,5,8,7,6
7.5,0.27,0.31,17.70,0.051,33,173,0.999,3.09,0.64,10.2,3,4,4,5,3
6.9,0.23,0.4,8.65,0.04,50,151,0.9927,3.11,0.27,11.4,5,8,4,6,5
7.2,0.32,0.47,5.10,0.044,19,65,0.991,3.03,0.41,12.6,2,4,1,2,2
5.9,0.23,0.3,14.52,0.054,57,-,0.9972,3.28,0.39,9.4,6,3,3,3,4
6,0.67,0.07,1.20,0.06,9,108,0.9931,3.11,0.35,8.7,3,2,3,4,3
6.4,0.25,0.32,6.47,0.049,41,176,0.995,3.19,0.68,9.2,5,5,8,4,6
6.4,0.33,0.31,8.23,0.048,42,173,0.9951,3.19,0.66,9.3,7,5,6,7,5
7.1,0.34,0.15,2.26,0.053,61,-,0.9936,3.09,0.43,9.2,5,4,4,3,2
6.8,0.28,0.4,22.28,0.048,48,167,1.001,2.93,0.5,8.7,4,3,3,5,5
6.9,0.27,0.4,19.11,0.05,64,227,0.9979,3.18,0.58,9.6,9,6,6,6,6
6.8,0.26,0.56,11.90,0.043,64,-,0.997,3.02,0.63,9.3,4,3,3,3,5
6.8,0.29,0.56,11.90,0.043,-,230,0.9972,3.02,0.63,9.3,3,2,3,4,4
6.7,0.24,0.41,12.82,0.04,49,166,0.9954,3.12,0.61,9.9,8,8,8,6,5
5.9,0.3,0.23,5.61,0.038,-,119,0.9924,3.15,0.5,11,5,3,5,4,3
6.8,0.53,0.35,8.10,0.034,-,109,0.9906,3.26,0.57,12.7,9,9,9,8,9
6.5,0.28,0.28,8.50,0.047,54,210,0.9962,3.09,0.54,8.9,3,3,2,2,2
6.6,0.28,0.28,11.76,0.052,55,211,0.9962,3.09,0.55,8.9,7,4,6,6,6
6.8,0.28,0.4,22.00,0.048,48,-,1.001,2.93,0.5,8.7,3,4,4,3,5
6.8,0.28,0.36,10.03,0.045,-,123,0.9928,3.02,0.37,11.4,6,7,7,7,4
6.6,0.15,0.34,5.10,0.055,34,-,0.9942,3.36,0.42,9.6,3,4,5,5,3
6.4,0.29,0.44,5.42,0.2,-,181,0.9942,3.02,0.41,9.1,6,4,4,5,5
6.4,0.3,0.45,5.02,0.197,76,180,0.9942,3.02,0.39,9.1,6,8,6,6,4
6.4,0.29,0.44,3.60,0.197,75,183,0.9942,3.01,0.38,9.1,4,4,5,5,2
6.8,0.26,0.24,8.28,0.052,54,214,0.9961,3.13,0.47,8.9,4,3,5,2,3
7.1,0.32,0.24,13.64,0.05,52,204,0.998,3.1,0.49,8.8,5,4,4,4,4
6.8,0.26,0.24,7.80,0.052,54,214,0.9961,3.13,0.47,8.9,3,5,5,3,5
6.8,0.27,0.26,16.32,0.049,-,196,0.9984,3.15,0.5,9.3,4,5,5,4,6
7.1,0.32,0.24,13.41,0.05,52,204,0.998,3.1,0.49,8.8,4,5,7,2,4
6.9,0.54,0.32,13.20,0.05,53,236,0.9973,3.2,0.5,9.6,3,3,4,5,3
6.8,0.26,0.34,14.87,0.034,39,-,0.9949,3.33,0.53,12,5,8,6,7,7
5.8,0.28,0.35,2.30,0.053,36,-,0.9924,3.28,0.5,10.2,1,2,2,1,1
6.4,0.21,0.5,13.24,0.042,45,153,0.9972,3.15,0.43,8.8,6,4,4,3,5
7,0.16,0.32,8.78,0.045,38,126,0.9958,3.21,0.34,9.2,4,4,3,4,4
10.2,0.44,0.88,6.20,0.049,20,124,0.9968,2.99,0.51,9.9,3,1,2,3,2
6.8,0.57,0.29,2.37,0.04,15,77,0.9938,3.32,0.74,10.2,4,2,4,2,3
6.1,0.4,0.31,2.91,0.048,23,-,0.993,3.22,0.77,9.5,6,7,6,7,5
5.6,0.245,0.25,9.70,0.032,12,68,0.994,3.31,0.34,10.5,3,3,2,3,4
6.8,0.18,0.38,5.36,0.038,35,111,0.9918,3.32,0.59,11.2,8,9,7,7,7
7,0.16,0.32,9.27,0.045,38,126,0.9958,3.21,0.34,9.2,5,4,2,5,3
6.7,0.13,0.29,7.61,0.051,31,122,0.9944,3.44,0.37,9.7,7,6,7,7,5
6.2,0.25,0.25,4.11,0.03,35,105,0.9912,3.3,0.44,11.1,7,7,8,9,8
5.8,0.26,0.24,9.20,0.044,55,152,0.9961,3.31,0.38,9.4,4,4,4,4,5
7.5,0.27,0.36,7.11,0.036,45,164,0.9939,3.03,0.33,11,4,3,6,5,4
5.8,0.26,0.24,9.93,0.044,55,-,0.9961,3.31,0.38,9.4,5,5,4,6,5
5.7,0.28,0.24,19.53,0.044,60,167,0.9989,3.31,0.44,9.4,6,3,4,4,6
7.5,0.23,0.36,8.42,0.036,43,161,0.9938,3.04,0.32,11,5,4,4,4,4
7.5,0.27,0.36,7.00,0.036,45,-,0.9939,3.03,0.33,11,4,4,5,4,6
7.2,0.685,0.21,11.63,0.07,-,172,0.9971,3,0.55,9.1,6,6,6,6,7
6.2,0.25,0.25,4.27,0.03,35,105,0.9912,3.3,0.44,11.1,7,8,9,8,9
6.5,0.19,0.3,2.19,0.043,33,144,0.9936,3.42,0.39,9.1,6,6,5,8,6
6.3,0.495,0.22,4.83,0.046,31,-,0.9929,3.39,0.54,10.4,7,6,4,5,6
7.1,0.24,0.41,17.80,0.046,-,145,0.9998,3.32,0.39,8.7,3,6,3,3,4
6.4,0.17,0.32,5.58,0.048,-,200,0.9938,3.5,0.5,9.7,7,5,6,8,6
7.1,0.25,0.32,13.40,0.041,66,272,0.9969,3.17,0.52,9.1,7,8,7,6,7
6.4,0.17,0.32,5.31,0.048,41,200,0.9938,3.5,0.5,9.7,7,6,5,4,6
7.1,0.24,0.41,17.80,0.046,-,145,0.9998,3.32,0.39,8.7,2,4,5,3,3
6.8,0.64,0.08,9.70,0.062,26,142,0.9972,3.37,0.46,8.9,3,2,3,3,1
8.3,0.28,0.4,10.31,0.041,-,194,0.9976,3.34,0.51,9.6,7,5,5,6,4
8.2,0.27,0.39,9.31,0.039,49,208,0.9976,3.31,0.51,9.5,6,8,5,7,4
7.2,0.23,0.38,15.81,0.058,55,194,0.9979,3.09,0.44,9,6,7,6,6,6
7.2,0.23,0.38,16.58,0.058,55,194,0.9979,3.09,0.44,9,6,7,6,7,6
7.2,0.23,0.38,17.94,0.058,55,194,0.9979,3.09,0.44,9,8,5,4,8,7
7.2,0.23,0.38,16.07,0.058,55,194,0.9979,3.09,0.44,9,6,8,8,5,6
6.8,0.52,0.32,13.43,0.044,54,221,0.9972,3.27,0.5,9.6,4,5,6,6,5
7,0.26,0.59,3.71,0.037,40,120,0.9918,3.34,0.41,11.1,7,9,9,8,9
6.2,0.25,0.21,17.74,0.039,28,159,0.9982,3.48,0.64,9.6,6,6,6,6,5
7.3,0.32,0.23,13.70,0.05,49,197,0.9985,3.2,0.46,8.7,3,3,2,3,3
7.7,0.31,0.26,7.80,0.031,23,90,0.9944,3.13,0.5,10.4,3,3,3,3,6
7.1,0.21,0.37,4.83,0.026,23,100,0.9903,3.15,0.38,11.4,7,8,8,9,9
6.8,0.24,0.34,3.15,0.047,64.5,218.5,0.9934,3.3,0.58,9.7,5,7,6,7,4
6.9,0.4,0.56,11.76,0.043,40,142,0.9975,3.14,0.46,8.7,5,4,4,4,3
6.1,0.18,0.36,3.67,0.038,-,249.5,0.9923,3.37,0.79,11.3,6,7,6,6,7
6.8,0.21,0.27,5.72,0.03,26,139,0.99,3.16,0.61,12.6,8,8,8,8,9
5.8,0.2,0.27,4.85,0.031,12,77,0.9905,3.25,0.36,10.9,8,8,6,7,9
5.6,0.19,0.26,4.83,0.03,12,-,0.9905,3.25,0.37,10.9,8,7,6,9,9
6.1,0.41,0.14,10.40,0.037,-,-,0.996,3.38,0.45,10,1,6,4,4,5
5.9,0.21,0.28,4.60,0.053,40,199,0.9964,3.72,0.7,10,2,2,2,3,2
8.5,0.26,0.21,16.20,0.074,41,197,0.998,3.02,0.5,9.8,1,1,1,1,1
6.9,0.4,0.56,11.20,0.043,40,142,0.9975,3.14,0.46,8.7,3,2,5,4,4
5.8,0.24,0.44,3.50,0.029,5,-,0.9913,3.53,0.43,11.7,1,1,1,1,1
5.8,0.24,0.39,3.38,0.054,37,158,0.9932,3.21,0.52,9.3,6,5,7,8,6
6.7,0.26,0.39,5.13,0.04,45,147,0.9935,3.32,0.58,9.6,9,9,9,9,9
6.3,0.35,0.3,8.30,0.035,8,97,0.9927,3.27,0.41,11,7,7,9,7,7
6.3,0.35,0.3,7.75,0.035,8,97,0.9927,3.27,0.41,11,6,8,9,8,9
6.4,0.23,0.39,4.52,0.032,23,-,0.9912,3.32,0.5,11.8,7,6,6,5,6
5.8,0.36,0.38,0.90,0.037,-,-,0.9904,3.28,0.34,11.4,2,2,5,2,1
6.9,0.115,0.35,7.60,0.048,36,108,0.9939,3.32,0.42,10.2,6,5,4,6,6
6.9,0.29,0.4,20.92,0.043,36,156,0.9996,2.93,0.47,8.9,5,4,5,3,3
6.9,0.28,0.4,8.40,0.036,15,95,0.9944,3.17,0.33,10.2,4,3,4,6,4
7.2,0.29,0.4,16.70,0.045,66,231,0.9977,3.08,0.59,9.6,7,7,6,7,6
6.2,0.24,0.35,3.60,0.038,22,167,0.9912,3.1,0.48,10.6,7,5,4,5,8
6.9,0.29,0.4,19.55,0.043,36,156,0.9996,2.93,0.47,8.9,4,5,3,6,5
6.9,0.32,0.26,12.84,0.053,32,180,0.9965,3.25,0.51,9.2,9,6,4,6,6
5.3,0.58,0.07,6.90,0.043,34,149,0.9944,3.34,0.57,9.7,4,3,6,6,5
5.3,0.585,0.07,10.73,0.044,34,145,0.9945,3.34,0.57,9.7,8,8,7,5,6
5.4,0.59,0.07,8.31,0.045,-,-,0.9944,3.34,0.57,9.7,6,9,5,6,7
6.9,0.32,0.26,9.78,0.053,32,180,0.9965,3.25,0.51,9.2,6,6,7,7,4
5.2,0.6,0.07,7.44,0.044,33,-,0.9944,3.33,0.58,9.7,4,4,4,4,3
5.8,0.25,0.26,14.41,0.051,44,148,0.9972,3.29,0.38,9.3,5,4,5,6,6
6.6,0.58,0.3,5.10,0.057,30,-,0.9949,3.24,0.38,9,3,4,4,3,4
